,episode,make_span,reward,no-op
0,0.0,1276.0,-76.27000000000002,0.0
1,0.0,1173.0,-65.96999999999998,0.0
2,0.0,1197.0,-68.37,0.0
3,0.0,1205.0,-69.16999999999999,0.0
4,0.0,1176.0,-66.27,0.0
5,0.0,1181.0,-66.76999999999998,0.0
6,0.0,1241.0,-72.77000000000001,0.0
7,0.0,1274.0,-76.06999999999998,0.0
8,0.0,1160.0,-64.67000000000002,0.0
9,1.0,1272.0,-75.87,0.0
10,1.0,1158.0,-64.46999999999998,0.0
11,1.0,1131.0,-61.76999999999997,0.0
12,1.0,1153.0,-63.96999999999999,0.0
13,1.0,1133.0,-61.97,0.0
14,1.0,1197.0,-68.37,0.0
15,1.0,1270.0,-75.66999999999999,0.0
16,1.0,1231.0,-71.77000000000001,0.0
17,1.0,1244.0,-73.07,0.0
18,2.0,1155.0,-64.16999999999999,0.0
19,2.0,1326.0,-81.27000000000005,0.0
20,2.0,1220.0,-70.67000000000002,0.0
21,2.0,1333.0,-81.97,0.0
22,2.0,1179.0,-66.56999999999998,0.0
23,2.0,1157.0,-64.36999999999999,0.0
24,2.0,1188.0,-67.46999999999997,0.0
25,2.0,1157.0,-64.36999999999999,0.0
26,2.0,1257.0,-74.37000000000003,0.0
27,3.0,1147.0,-63.36999999999999,0.0
28,3.0,1255.0,-74.17000000000002,0.0
29,3.0,1187.0,-67.37000000000003,0.0
30,3.0,1272.0,-75.86999999999999,0.0
31,3.0,1312.0,-79.86999999999999,0.0
32,3.0,1243.0,-72.97000000000001,0.0
33,3.0,1254.0,-74.07,0.0
34,3.0,1262.0,-74.86999999999998,0.0
35,3.0,1189.0,-67.57000000000001,0.0
36,4.0,1326.0,-81.26999999999997,0.0
37,4.0,1264.0,-75.07,0.0
38,4.0,1296.0,-78.27000000000001,0.0
39,4.0,1146.0,-63.269999999999996,0.0
40,4.0,1191.0,-67.77000000000001,0.0
41,4.0,1305.0,-79.16999999999999,0.0
42,4.0,1213.0,-69.97000000000001,0.0
43,4.0,1176.0,-66.27000000000001,0.0
44,4.0,1256.0,-74.27000000000001,0.0
45,5.0,1166.0,-65.27,0.0
46,5.0,1232.0,-71.86999999999996,0.0
47,5.0,1270.0,-75.66999999999999,0.0
48,5.0,1252.0,-73.87,0.0
49,5.0,1120.0,-60.66999999999997,0.0
50,5.0,1195.0,-68.17000000000002,0.0
51,5.0,1194.0,-68.06999999999998,0.0
52,5.0,1331.0,-81.77,0.0
53,5.0,1213.0,-69.97,0.0
54,6.0,1103.0,-58.969999999999985,0.0
55,6.0,1232.0,-71.87,0.0
56,6.0,1237.0,-72.37,0.0
57,6.0,1172.0,-65.87000000000002,0.0
58,6.0,1139.0,-62.569999999999965,0.0
59,6.0,1105.0,-59.170000000000016,0.0
60,6.0,1158.0,-64.46999999999998,0.0
61,6.0,1244.0,-73.07000000000001,0.0
62,6.0,1166.0,-65.27000000000001,0.0
63,7.0,1327.0,-81.36999999999998,0.0
64,7.0,1162.0,-64.87000000000002,0.0
65,7.0,1249.0,-73.57000000000001,0.0
66,7.0,1143.0,-62.970000000000006,0.0
67,7.0,1212.0,-69.87,0.0
68,7.0,1219.0,-70.57,0.0
69,7.0,1195.0,-68.16999999999999,0.0
70,7.0,1220.0,-70.66999999999999,0.0
71,7.0,1255.0,-74.17000000000002,0.0
72,8.0,1152.0,-63.86999999999999,0.0
73,8.0,1161.0,-64.77000000000001,0.0
74,8.0,1134.0,-62.07,0.0
75,8.0,1180.0,-66.66999999999997,0.0
76,8.0,1248.0,-73.46999999999998,0.0
77,8.0,1194.0,-68.07000000000001,0.0
78,8.0,1149.0,-63.56999999999998,0.0
79,8.0,1258.0,-74.46999999999998,0.0
80,8.0,1307.0,-79.36999999999999,0.0
81,9.0,1231.0,-71.77,0.0
82,9.0,1176.0,-66.27,0.0
83,9.0,1234.0,-72.07,0.0
84,9.0,1148.0,-63.46999999999997,0.0
85,9.0,1103.0,-58.97000000000001,0.0
86,9.0,1301.0,-78.76999999999998,0.0
87,9.0,1187.0,-67.36999999999999,0.0
88,9.0,1246.0,-73.26999999999998,0.0
89,9.0,1163.0,-64.97000000000001,0.0
90,10.0,1194.0,-68.07000000000001,0.0
91,10.0,1186.0,-67.27000000000001,0.0
92,10.0,1200.0,-68.66999999999999,0.0
