,episode,make_span,reward,no-op
0,0.0,1699.0,-62.74757281553401,0.0
1,0.0,1496.0,-43.03883495145633,0.0
2,0.0,1524.0,-45.75728155339808,0.0
3,0.0,1465.0,-40.02912621359226,0.0
4,0.0,1541.0,-47.4077669902913,0.0
5,0.0,1584.0,-51.58252427184468,0.0
6,0.0,1516.0,-44.98058252427185,0.0
7,0.0,1441.0,-37.699029126213595,0.0
8,0.0,1566.0,-49.83495145631072,0.0
9,1.0,1487.0,-42.16504854368934,0.0
10,1.0,1626.0,-55.66019417475731,0.0
11,1.0,1424.0,-36.04854368932041,0.0
12,1.0,1473.0,-40.80582524271846,0.0
13,1.0,1557.0,-48.961165048543734,0.0
14,1.0,1572.0,-50.41747572815537,0.0
15,1.0,1476.0,-41.0970873786408,0.0
16,1.0,1398.0,-33.52427184466022,0.0
17,1.0,1501.0,-43.5242718446602,0.0
18,2.0,1634.0,-56.4368932038835,0.0
19,2.0,1499.0,-43.330097087378654,0.0
20,2.0,1568.0,-50.02912621359225,0.0
21,2.0,1469.0,-40.417475728155345,0.0
22,2.0,1451.0,-38.66990291262138,0.0
23,2.0,1449.0,-38.47572815533982,0.0
24,2.0,1512.0,-44.59223300970874,0.0
25,2.0,1453.0,-38.86407766990295,0.0
26,2.0,1447.0,-38.281553398058286,0.0
27,3.0,1409.0,-34.592233009708764,0.0
28,3.0,1516.0,-44.98058252427186,0.0
29,3.0,1434.0,-37.019417475728176,0.0
30,3.0,1526.0,-45.951456310679646,0.0
31,3.0,1500.0,-43.42718446601941,0.0
32,3.0,1487.0,-42.16504854368936,0.0
33,3.0,1414.0,-35.077669902912646,0.0
34,3.0,1491.0,-42.55339805825245,0.0
35,3.0,1589.0,-52.067961165048565,0.0
36,4.0,1497.0,-43.13592233009712,0.0
37,4.0,1495.0,-42.941747572815544,0.0
38,4.0,1510.0,-44.39805825242722,0.0
39,4.0,1629.0,-55.951456310679625,0.0
40,4.0,1674.0,-60.32038834951458,0.0
41,4.0,1494.0,-42.844660194174786,0.0
42,4.0,1519.0,-45.27184466019419,0.0
43,4.0,1554.0,-48.66990291262139,0.0
44,4.0,1486.0,-42.067961165048565,0.0
45,5.0,1562.0,-49.44660194174759,0.0
46,5.0,1490.0,-42.45631067961166,0.0
47,5.0,1422.0,-35.854368932038845,0.0
48,5.0,1514.0,-44.78640776699031,0.0
49,5.0,1519.0,-45.271844660194205,0.0
50,5.0,1543.0,-47.60194174757283,0.0
51,5.0,1601.0,-53.233009708737896,0.0
52,5.0,1703.0,-63.13592233009709,0.0
53,5.0,1558.0,-49.05825242718447,0.0
54,6.0,1552.0,-48.47572815533984,0.0
55,6.0,1569.0,-50.12621359223303,0.0
56,6.0,1367.0,-30.514563106796142,0.0
57,6.0,1470.0,-40.514563106796146,0.0
58,6.0,1427.0,-36.33980582524276,0.0
59,6.0,1467.0,-40.22330097087381,0.0
60,6.0,1563.0,-49.543689320388374,0.0
61,6.0,1443.0,-37.89320388349517,0.0
62,6.0,1412.0,-34.88349514563109,0.0
63,7.0,1504.0,-43.81553398058256,0.0
64,7.0,1463.0,-39.834951456310705,0.0
65,7.0,1431.0,-36.72815533980584,0.0
66,7.0,1606.0,-53.71844660194178,0.0
67,7.0,1512.0,-44.59223300970876,0.0
68,7.0,1515.0,-44.883495145631095,0.0
69,7.0,1538.0,-47.11650485436896,0.0
70,7.0,1463.0,-39.83495145631072,0.0
71,7.0,1465.0,-40.029126213592264,0.0
72,8.0,1489.0,-42.35922330097088,0.0
73,8.0,1489.0,-42.359223300970875,0.0
74,8.0,1580.0,-51.19417475728159,0.0
75,8.0,1489.0,-42.35922330097089,0.0
76,8.0,1501.0,-43.5242718446602,0.0
77,8.0,1527.0,-46.04854368932041,0.0
78,8.0,1655.0,-58.47572815533982,0.0
79,8.0,1652.0,-58.184466019417506,0.0
80,8.0,1488.0,-42.26213592233011,0.0
81,9.0,1509.0,-44.300970873786426,0.0
