,episode,make_span,reward,no-op
0,0.0,2179.0,-225.28846153846138,0.0
1,0.0,2134.0,-216.63461538461542,0.0
2,0.0,2146.0,-218.9423076923077,0.0
3,0.0,2207.0,-230.67307692307696,0.0
4,0.0,2168.0,-223.17307692307696,0.0
5,0.0,2097.0,-209.51923076923083,0.0
6,0.0,2394.0,-266.6346153846155,0.0
7,0.0,2269.0,-242.59615384615395,0.0
8,0.0,2217.0,-232.5961538461538,0.0
9,1.0,2157.0,-221.0576923076923,0.0
10,1.0,2063.0,-202.98076923076928,0.0
11,1.0,2256.0,-240.09615384615398,0.0
12,1.0,2078.0,-205.8653846153847,0.0
13,1.0,2070.0,-204.32692307692315,0.0
14,1.0,2192.0,-227.7884615384617,0.0
15,1.0,2048.0,-200.0961538461539,0.0
16,1.0,2235.0,-236.05769230769226,0.0
17,1.0,2291.0,-246.82692307692304,0.0
18,2.0,2203.0,-229.90384615384613,0.0
19,2.0,2172.0,-223.94230769230757,0.0
20,2.0,2229.0,-234.90384615384616,0.0
21,2.0,2027.0,-196.05769230769226,0.0
22,2.0,2048.0,-200.0961538461538,0.0
23,2.0,2171.0,-223.74999999999986,0.0
24,2.0,2220.0,-233.17307692307705,0.0
25,2.0,2253.0,-239.51923076923066,0.0
26,2.0,2261.0,-241.05769230769218,0.0
27,3.0,2064.0,-203.17307692307702,0.0
28,3.0,2241.0,-237.21153846153845,0.0
29,3.0,2132.0,-216.25000000000017,0.0
30,3.0,2340.0,-256.2499999999998,0.0
31,3.0,2262.0,-241.25000000000014,0.0
32,3.0,2114.0,-212.78846153846155,0.0
33,3.0,2124.0,-214.71153846153828,0.0
34,3.0,2093.0,-208.75000000000003,0.0
35,3.0,2277.0,-244.13461538461542,0.0
36,4.0,2108.0,-211.63461538461542,0.0
37,4.0,2176.0,-224.7115384615385,0.0
38,4.0,2062.0,-202.78846153846163,0.0
39,4.0,2200.0,-229.32692307692304,0.0
40,4.0,2197.0,-228.75000000000009,0.0
41,4.0,2013.0,-193.36538461538473,0.0
42,4.0,2182.0,-225.86538461538458,0.0
43,4.0,2134.0,-216.63461538461522,0.0
44,4.0,2353.0,-258.74999999999994,0.0
45,5.0,2044.0,-199.32692307692312,0.0
46,5.0,2107.0,-211.44230769230765,0.0
47,5.0,2111.0,-212.2115384615383,0.0
48,5.0,2185.0,-226.44230769230776,0.0
49,5.0,2160.0,-221.63461538461542,0.0
50,5.0,2286.0,-245.86538461538458,0.0
51,5.0,2372.0,-262.4038461538462,0.0
52,5.0,2080.0,-206.25000000000003,0.0
53,5.0,2126.0,-215.09615384615384,0.0
54,6.0,2291.0,-246.82692307692304,0.0
55,6.0,2323.0,-252.9807692307693,0.0
56,6.0,2359.0,-259.903846153846,0.0
57,6.0,2176.0,-224.71153846153834,0.0
58,6.0,2252.0,-239.326923076923,0.0
59,6.0,2339.0,-256.0576923076923,0.0
60,6.0,2363.0,-260.673076923077,0.0
61,6.0,2123.0,-214.51923076923077,0.0
62,6.0,2093.0,-208.75,0.0
63,7.0,2085.0,-207.21153846153854,0.0
64,7.0,2076.0,-205.4807692307692,0.0
65,7.0,2307.0,-249.9038461538463,0.0
66,7.0,2081.0,-206.44230769230774,0.0
67,7.0,2118.0,-213.55769230769226,0.0
68,7.0,2062.0,-202.78846153846155,0.0
69,7.0,2081.0,-206.44230769230768,0.0
70,7.0,2182.0,-225.86538461538458,0.0
71,7.0,2230.0,-235.09615384615392,0.0
72,8.0,2080.0,-206.25000000000003,0.0
73,8.0,2194.0,-228.17307692307688,0.0
74,8.0,2240.0,-237.0192307692308,0.0
75,8.0,2017.0,-194.13461538461522,0.0
76,8.0,2114.0,-212.7884615384614,0.0
77,8.0,2048.0,-200.09615384615392,0.0
78,8.0,2021.0,-194.9038461538462,0.0
79,8.0,2203.0,-229.90384615384616,0.0
80,8.0,2132.0,-216.25000000000003,0.0
81,9.0,2179.0,-225.28846153846163,0.0
82,9.0,2230.0,-235.09615384615384,0.0
83,9.0,2137.0,-217.21153846153857,0.0
84,9.0,2037.0,-197.98076923076934,0.0
85,9.0,2224.0,-233.94230769230768,0.0
86,9.0,2080.0,-206.25000000000006,0.0
87,9.0,2114.0,-212.78846153846146,0.0
88,9.0,2310.0,-250.4807692307693,0.0
89,9.0,2200.0,-229.32692307692312,0.0
90,10.0,2200.0,-229.32692307692298,0.0
91,10.0,2089.0,-207.98076923076925,0.0
92,10.0,2043.0,-199.13461538461533,0.0
93,10.0,2124.0,-214.7115384615385,0.0
94,10.0,2157.0,-221.05769230769235,0.0
95,10.0,2128.0,-215.4807692307693,0.0
96,10.0,2162.0,-222.01923076923077,0.0
