,episode,make_span,reward,min make span
0,0.0,1983.0,-49.101010101010104,1983.0
1,0.0,1919.0,-42.63636363636366,1919.0
2,0.0,2040.0,-54.85858585858587,1919.0
3,0.0,2044.0,-55.26262626262627,1919.0
4,0.0,2115.0,-62.434343434343475,1919.0
5,0.0,1933.0,-44.05050505050508,1919.0
6,0.0,1915.0,-42.23232323232327,1915.0
7,0.0,2055.0,-56.37373737373737,1915.0
8,0.0,2036.0,-54.45454545454548,1915.0
9,1.0,2013.0,-52.131313131313135,1915.0
10,1.0,1923.0,-43.04040404040407,1915.0
11,1.0,1946.0,-45.36363636363638,1915.0
12,1.0,1993.0,-50.111111111111136,1915.0
13,1.0,1987.0,-49.50505050505052,1915.0
14,1.0,1956.0,-46.373737373737384,1915.0
15,1.0,2143.0,-65.26262626262628,1915.0
16,1.0,2165.0,-67.4848484848485,1915.0
17,1.0,2021.0,-52.939393939393966,1915.0
18,2.0,1906.0,-41.32323232323236,1906.0
19,2.0,1892.0,-39.90909090909092,1892.0
20,2.0,2013.0,-52.13131313131314,1892.0
21,2.0,1916.0,-42.333333333333336,1892.0
22,2.0,2036.0,-54.454545454545475,1892.0
23,2.0,1917.0,-42.43434343434345,1892.0
24,2.0,1989.0,-49.70707070707073,1892.0
25,2.0,1861.0,-36.7777777777778,1861.0
26,2.0,1966.0,-47.383838383838416,1861.0
27,3.0,1921.0,-42.838383838383855,1861.0
28,3.0,2117.0,-62.636363636363654,1861.0
29,3.0,1991.0,-49.90909090909094,1861.0
30,3.0,1967.0,-47.4848484848485,1861.0
31,3.0,2015.0,-52.33333333333335,1861.0
32,3.0,2004.0,-51.22222222222223,1861.0
33,3.0,2023.0,-53.14141414141418,1861.0
34,3.0,2124.0,-63.343434343434396,1861.0
35,3.0,2031.0,-53.949494949495,1861.0
36,4.0,1944.0,-45.16161616161619,1861.0
37,4.0,2053.0,-56.171717171717184,1861.0
38,4.0,1969.0,-47.68686868686869,1861.0
39,4.0,1898.0,-40.51515151515155,1861.0
40,4.0,2008.0,-51.626262626262665,1861.0
41,4.0,1930.0,-43.74747474747478,1861.0
42,4.0,1887.0,-39.40404040404042,1861.0
43,4.0,2066.0,-57.4848484848485,1861.0
44,4.0,1916.0,-42.33333333333334,1861.0
45,5.0,1936.0,-44.353535353535364,1861.0
46,5.0,2033.0,-54.15151515151517,1861.0
47,5.0,1957.0,-46.47474747474749,1861.0
48,5.0,1944.0,-45.16161616161616,1861.0
49,5.0,2049.0,-55.7676767676768,1861.0
50,5.0,1921.0,-42.83838383838386,1861.0
51,5.0,2020.0,-52.83838383838386,1861.0
52,5.0,2059.0,-56.777777777777786,1861.0
53,5.0,2085.0,-59.4040404040404,1861.0
54,6.0,2025.0,-53.34343434343435,1861.0
55,6.0,1930.0,-43.747474747474776,1861.0
56,6.0,1920.0,-42.737373737373765,1861.0
57,6.0,1951.0,-45.86868686868689,1861.0
58,6.0,1938.0,-44.555555555555586,1861.0
59,6.0,1945.0,-45.26262626262627,1861.0
60,6.0,1966.0,-47.38383838383841,1861.0
61,6.0,2043.0,-55.161616161616166,1861.0
62,6.0,2044.0,-55.26262626262628,1861.0
63,7.0,2008.0,-51.62626262626265,1861.0
64,7.0,1790.0,-29.606060606060637,1790.0
65,7.0,1857.0,-36.37373737373739,1790.0
66,7.0,1932.0,-43.94949494949496,1790.0
67,7.0,2035.0,-54.353535353535385,1790.0
68,7.0,2063.0,-57.181818181818194,1790.0
69,7.0,2099.0,-60.81818181818185,1790.0
70,7.0,2083.0,-59.20202020202022,1790.0
71,7.0,1967.0,-47.484848484848506,1790.0
72,8.0,1879.0,-38.595959595959606,1790.0
73,8.0,2080.0,-58.898989898989925,1790.0
74,8.0,1835.0,-34.151515151515156,1790.0
75,8.0,1997.0,-50.51515151515153,1790.0
76,8.0,1889.0,-39.60606060606062,1790.0
77,8.0,2064.0,-57.282828282828326,1790.0
78,8.0,2059.0,-56.7777777777778,1790.0
79,8.0,1995.0,-50.31313131313131,1790.0
80,8.0,2037.0,-54.55555555555557,1790.0
81,9.0,1933.0,-44.050505050505066,1790.0
82,9.0,2003.0,-51.121212121212125,1790.0
83,9.0,1893.0,-40.010101010101025,1790.0
84,9.0,1961.0,-46.878787878787904,1790.0
85,9.0,1942.0,-44.95959595959597,1790.0
86,9.0,1890.0,-39.70707070707073,1790.0
87,9.0,2037.0,-54.55555555555558,1790.0
88,9.0,2008.0,-51.626262626262644,1790.0
89,9.0,2044.0,-55.26262626262628,1790.0
90,10.0,1892.0,-39.909090909090935,1790.0
91,10.0,1895.0,-40.21212121212125,1790.0
92,10.0,1980.0,-48.79797979797981,1790.0
