,episode,make_span,reward,min make span
0,0.0,69.0,-21.700000000000006,69.0
1,0.0,60.0,-16.300000000000004,60.0
2,0.0,72.0,-23.5,60.0
3,0.0,68.0,-21.1,60.0
4,0.0,65.0,-19.299999999999997,60.0
5,0.0,60.0,-16.299999999999997,60.0
6,0.0,71.0,-22.9,60.0
7,0.0,83.0,-30.1,60.0
8,0.0,64.0,-18.7,60.0
9,1.0,62.0,-17.5,60.0
10,1.0,59.0,-15.7,59.0
11,1.0,70.0,-22.3,59.0
12,1.0,60.0,-16.299999999999997,59.0
13,1.0,59.0,-15.699999999999998,59.0
14,1.0,61.0,-16.900000000000002,59.0
15,1.0,68.0,-21.1,59.0
16,1.0,65.0,-19.3,59.0
17,1.0,69.0,-21.7,59.0
18,2.0,82.0,-29.500000000000004,59.0
19,2.0,69.0,-21.700000000000003,59.0
20,2.0,66.0,-19.900000000000002,59.0
21,2.0,65.0,-19.3,59.0
22,2.0,81.0,-28.9,59.0
23,2.0,69.0,-21.7,59.0
24,2.0,68.0,-21.099999999999998,59.0
25,2.0,61.0,-16.900000000000002,59.0
26,2.0,65.0,-19.300000000000004,59.0
27,3.0,66.0,-19.900000000000002,59.0
28,3.0,60.0,-16.3,59.0
29,3.0,59.0,-15.700000000000001,59.0
30,3.0,71.0,-22.900000000000002,59.0
31,3.0,69.0,-21.700000000000003,59.0
32,3.0,65.0,-19.299999999999997,59.0
33,3.0,65.0,-19.3,59.0
34,3.0,61.0,-16.9,59.0
35,3.0,66.0,-19.900000000000002,59.0
36,4.0,62.0,-17.500000000000004,59.0
37,4.0,69.0,-21.700000000000006,59.0
38,4.0,68.0,-21.099999999999998,59.0
39,4.0,63.0,-18.099999999999998,59.0
40,4.0,65.0,-19.3,59.0
41,4.0,68.0,-21.1,59.0
42,4.0,62.0,-17.500000000000004,59.0
43,4.0,65.0,-19.300000000000004,59.0
44,4.0,60.0,-16.3,59.0
45,5.0,65.0,-19.3,59.0
46,5.0,59.0,-15.700000000000001,59.0
47,5.0,59.0,-15.7,59.0
48,5.0,61.0,-16.900000000000002,59.0
49,5.0,69.0,-21.7,59.0
50,5.0,66.0,-19.900000000000002,59.0
51,5.0,68.0,-21.1,59.0
52,5.0,61.0,-16.9,59.0
53,5.0,62.0,-17.5,59.0
54,6.0,69.0,-21.7,59.0
55,6.0,62.0,-17.499999999999996,59.0
56,6.0,65.0,-19.3,59.0
57,6.0,69.0,-21.7,59.0
58,6.0,63.0,-18.1,59.0
59,6.0,60.0,-16.299999999999997,59.0
60,6.0,59.0,-15.699999999999998,59.0
61,6.0,64.0,-18.700000000000003,59.0
62,6.0,79.0,-27.700000000000003,59.0
63,7.0,59.0,-15.700000000000001,59.0
64,7.0,65.0,-19.300000000000004,59.0
65,7.0,62.0,-17.5,59.0
66,7.0,73.0,-24.100000000000005,59.0
67,7.0,62.0,-17.500000000000004,59.0
68,7.0,63.0,-18.1,59.0
