,spp1-12-3-9202,converge_cnt,total_time,min
la21,1158.0,6263.0,1429.6864874362946,1142.0
la22,986.0,7217.0,1622.9471077919006,986.0
la23,1065.0,3635.0,798.5187430381775,1032.0
la24,1018.0,5849.0,1313.7852544784546,996.0
la25,1078.0,7865.0,1772.4924874305725,1060.0
la26,1285.0,8621.0,2785.973248720169,1264.0
la27,1401.0,4634.0,1477.8010656833649,1389.0
la28,1339.0,4544.0,1425.9545702934265,1321.0
la29,1291.0,6272.0,2016.0129525661469,1276.0
la30,1391.0,5255.0,1679.1979851722717,1371.0
la31,1784.0,6074.0,3602.344420194626,1784.0
la32,1850.0,6056.0,3604.614748239517,1850.0
la33,1745.0,2708.0,1539.5947260856628,1719.0
la34,1726.0,6074.0,3604.8735456466675,1721.0
la35,1898.0,5984.0,3601.489141225815,1898.0
la36,1413.0,3230.0,1235.7195131778717,1374.0
la37,1562.0,6794.0,2661.70649766922,1528.0
la38,1354.0,7199.0,3090.1399879455566,1323.0
la39,1445.0,5624.0,2204.37087726593,1370.0
la40,1339.0,9188.0,3603.6961262226105,1294.0
ta21,1846.0,3968.0,3601.2273349761963,1836.0
ta22,59.0,1709.0,111.4375274181366,58.0
ta31,59.0,845.0,54.665003061294556,57.0
