,episode,make_span,reward,min make span
0,0.0,3319.0,-127.68686868686893,3319.0
1,0.0,3555.0,-163.44444444444474,3319.0
2,0.0,3389.0,-138.29292929292956,3319.0
3,0.0,3496.0,-154.50505050505075,3319.0
4,0.0,3377.0,-136.47474747474772,3319.0
5,0.0,3430.0,-144.50505050505078,3319.0
6,0.0,3404.0,-140.5656565656568,3319.0
7,0.0,3299.0,-124.65656565656603,3299.0
8,0.0,3267.0,-119.80808080808103,3267.0
9,1.0,3407.0,-141.02020202020225,3267.0
10,1.0,3290.0,-123.29292929292956,3267.0
11,1.0,3374.0,-136.02020202020236,3267.0
12,1.0,3310.0,-126.32323232323255,3267.0
13,1.0,3320.0,-127.8383838383841,3267.0
14,1.0,3469.0,-150.41414141414162,3267.0
15,1.0,3381.0,-137.08080808080825,3267.0
16,1.0,3212.0,-111.47474747474784,3212.0
17,1.0,3493.0,-154.05050505050534,3212.0
18,2.0,3523.0,-158.59595959595995,3212.0
19,2.0,3382.0,-137.23232323232352,3212.0
20,2.0,3489.0,-153.4444444444447,3212.0
21,2.0,3433.0,-144.9595959595963,3212.0
22,2.0,3491.0,-153.747474747475,3212.0
23,2.0,3703.0,-185.86868686868723,3212.0
24,2.0,3584.0,-167.83838383838417,3212.0
25,2.0,3301.0,-124.95959595959617,3212.0
26,2.0,3375.0,-136.17171717171755,3212.0
27,3.0,3433.0,-144.9595959595963,3212.0
28,3.0,3301.0,-124.95959595959623,3212.0
29,3.0,3523.0,-158.5959595959598,3212.0
30,3.0,3579.0,-167.08080808080848,3212.0
31,3.0,3615.0,-172.53535353535364,3212.0
32,3.0,3278.0,-121.47474747474773,3212.0
33,3.0,3409.0,-141.32323232323253,3212.0
34,3.0,3348.0,-132.08080808080842,3212.0
35,3.0,3302.0,-125.11111111111147,3212.0
36,4.0,3488.0,-153.29292929292967,3212.0
37,4.0,3498.0,-154.80808080808114,3212.0
38,4.0,3377.0,-136.47474747474774,3212.0
39,4.0,3462.0,-149.35353535353568,3212.0
40,4.0,3532.0,-159.95959595959621,3212.0
41,4.0,3541.0,-161.32323232323253,3212.0
